round	stratum	case	items	repeats	baseline_wall	baseline_rss_kb	candidate_wall	candidate_rss_kb	baseline_exit	candidate_exit	baseline_affinity	candidate_affinity	baseline_timestamp	candidate_timestamp
19	BC	braced_ast	10000	8	0:15.26	35680	0:15.24	35704	0	0	10	10	2026-08-30T16:58:48+09:00	2026-08-30T16:59:04+09:00
19	BC	indented_direct	1000	50	0:11.02	8704	0:10.83	8320	0	0	10	10	2026-08-30T16:59:24+09:00	2026-08-30T16:59:35+09:00
19	BC	indented_direct	10000	8	0:17.53	10296	0:16.64	10300	0	0	10	10	2026-08-30T16:59:51+09:00	2026-08-30T17:00:08+09:00
19	BC	braced_direct	1000	50	0:09.87	8704	0:10.04	8320	0	0	10	10	2026-08-30T17:00:30+09:00	2026-08-30T17:00:40+09:00
19	BC	braced_direct	10000	8	0:14.98	10276	0:14.99	10028	0	0	10	10	2026-08-30T17:00:55+09:00	2026-08-30T17:01:10+09:00
20	CB	braced_direct	10000	8	0:14.79	9892	0:14.10	10156	0	0	10	10	2026-08-30T17:01:44+09:00	2026-08-30T17:01:30+09:00
20	CB	braced_direct	1000	50	0:08.52	8704	0:08.60	8704	0	0	10	10	2026-08-30T17:02:13+09:00	2026-08-30T17:02:04+09:00
20	CB	indented_direct	10000	8	0:15.43	10040	0:15.12	10172	0	0	10	10	2026-08-30T17:02:42+09:00	2026-08-30T17:02:26+09:00
20	CB	indented_direct	1000	50	0:10.62	8320	0:09.97	8448	0	0	10	10	2026-08-30T17:03:12+09:00	2026-08-30T17:03:02+09:00
20	CB	braced_ast	10000	8	0:13.53	35552	0:13.43	35704	0	0	10	10	2026-08-30T17:03:41+09:00	2026-08-30T17:03:28+09:00
20	CB	braced_ast	1000	50	0:08.85	10400	0:08.63	10412	0	0	10	10	2026-08-30T17:04:09+09:00	2026-08-30T17:04:00+09:00
20	CB	indented_ast	10000	8	0:14.39	35572	0:14.78	35708	0	0	10	10	2026-08-30T17:04:37+09:00	2026-08-30T17:04:23+09:00
20	CB	indented_ast	1000	50	0:08.70	10528	0:08.65	10540	0	0	10	10	2026-08-30T17:05:05+09:00	2026-08-30T17:04:57+09:00
21	BC	indented_ast	1000	50	0:08.67	10532	0:08.99	10540	0	0	10	10	2026-08-30T17:05:19+09:00	2026-08-30T17:05:28+09:00
21	BC	indented_ast	10000	8	0:13.99	35700	0:14.15	35708	0	0	10	10	2026-08-30T17:05:42+09:00	2026-08-30T17:05:56+09:00
21	BC	braced_ast	1000	50	0:08.15	10528	0:08.05	10540	0	0	10	10	2026-08-30T17:06:15+09:00	2026-08-30T17:06:23+09:00
21	BC	braced_ast	10000	8	0:13.17	35808	0:12.96	35692	0	0	10	10	2026-08-30T17:06:37+09:00	2026-08-30T17:06:50+09:00
21	BC	indented_direct	1000	50	0:09.67	8704	0:09.68	8448	0	0	10	10	2026-08-30T17:07:08+09:00	2026-08-30T17:07:18+09:00
21	BC	indented_direct	10000	8	0:12.43	10296	0:13.57	10300	0	0	10	10	2026-08-30T17:07:32+09:00	2026-08-30T17:07:45+09:00
21	BC	braced_direct	1000	50	0:06.34	8576	0:08.39	8576	0	0	10	10	2026-08-30T17:08:03+09:00	2026-08-30T17:08:10+09:00
21	BC	braced_direct	10000	8	0:14.83	10148	0:14.50	10284	0	0	10	10	2026-08-30T17:08:23+09:00	2026-08-30T17:08:38+09:00
22	CB	braced_direct	10000	8	0:15.13	10276	0:15.09	10412	0	0	10	10	2026-08-30T17:09:13+09:00	2026-08-30T17:08:58+09:00
22	CB	braced_direct	1000	50	0:09.76	8448	0:09.52	8448	0	0	10	10	2026-08-30T17:09:43+09:00	2026-08-30T17:09:33+09:00
22	CB	indented_direct	10000	8	0:17.46	10296	0:16.47	10172	0	0	10	10	2026-08-30T17:10:14+09:00	2026-08-30T17:09:57+09:00
22	CB	indented_direct	1000	50	0:10.70	8576	0:10.42	8448	0	0	10	10	2026-08-30T17:10:47+09:00	2026-08-30T17:10:36+09:00
22	CB	braced_ast	10000	8	0:14.66	35552	0:14.38	35436	0	0	10	10	2026-08-30T17:11:17+09:00	2026-08-30T17:11:03+09:00
22	CB	braced_ast	1000	50	0:09.23	10528	0:08.86	10412	0	0	10	10	2026-08-30T17:11:46+09:00	2026-08-30T17:11:37+09:00
22	CB	indented_ast	10000	8	0:14.32	35696	0:15.27	35708	0	0	10	10	2026-08-30T17:12:15+09:00	2026-08-30T17:12:00+09:00
22	CB	indented_ast	1000	50	0:08.78	10532	0:08.37	10412	0	0	10	10	2026-08-30T17:12:43+09:00	2026-08-30T17:12:35+09:00
